sample_id,target,period,document_index,token_index,context
prop_nn-1960-2010-03,prop_nn,1960-2010,43386,15,yet with this one article he seem to have do more to knock away the [prop] of faith in the reagan program than the huff and puff of all the democratic critic combine
prop_nn-1960-2010-04,prop_nn,1960-2010,211208,22,an energetic talk that leave the more sensitive among us queasy dr.-i moses use a large plaster-of-paris eyeball as a [prop] it swing hideously open in section to reveal the veiny interior of the eye uncomfortably suggest a dissection
quilt_nn-1810-1860-01,quilt_nn,1810-1860,14937,21,be large cover the space occupy by three room on the ground floor and next to the roof so the [quilt] could be conveniently attach to the rafter by rope and thus draw up out of the way in case it
quilt_nn-1810-1860-02,quilt_nn,1810-1860,103110,82,time this same arm of his i say look for all the world like a strip of that same patchwork [quilt]
quilt_nn-1810-1860-03,quilt_nn,1810-1860,112519,17,so back she go to her cabin and from the same red chist take a many-colored patchwork [quilt]
quilt_nn-1810-1860-04,quilt_nn,1810-1860,126445,17,the wonder be that she do n't make a party of whole cloth and not stick her [quilt] in at all
quilt_nn-1960-2010-01,quilt_nn,1960-2010,44085,19,// ' ' yes ' ' say the elderly woman behind the counter as she fold a hand-stitched tumbling-block-design [quilt] ' ' lots of folk stop on their way to the new river
quilt_nn-1960-2010-02,quilt_nn,1960-2010,128857,10,their quilt power of houston be enter in the international [quilt] association 's annual judge show quilt a world of beauty and be one of 350 finalist in the competition that
quilt_nn-1960-2010-03,quilt_nn,1960-2010,165967,4,she then place the [quilt] and the journal deep in the back of her closet and shut the door on them as if she could
quilt_nn-1960-2010-04,quilt_nn,1960-2010,260852,13,be award first place in the group quilt category at the recent international [quilt] festival
rag_nn-1810-1860-01,rag_nn,1810-1860,91334,4,with arm uplift and [rag] flutter in a north-west wind he repeat ho
rag_nn-1810-1860-02,rag_nn,1810-1860,116757,47,bed into the street jest because the family in the roof have go to sleep leavin a pile of old [rag] afire to drive off the musketers
rag_nn-1810-1860-03,rag_nn,1810-1860,133695,7,and i meanwhile have only this coarse [rag] to cover my aching shoulder
rag_nn-1810-1860-04,rag_nn,1810-1860,177132,9,you dirthy owld bit of a blackguard of a [rag] ' say i in an exthremity of rage ' you be not fit for the back of a dacent lad
rag_nn-1960-2010-01,rag_nn,1960-2010,86117,11,the big attendant come out of his office and hand wet [rag] to everybody
rag_nn-1960-2010-02,rag_nn,1960-2010,88864,3,always me and [rag] together on the magazine cover me and rag in the layout mother and daughter pixie twin
rag_nn-1960-2010-03,rag_nn,1960-2010,192783,17,the scattered fragment of the nightmare break loose from her and fall at her foot like incomprehensible [rag]
rag_nn-1960-2010-04,rag_nn,1960-2010,327270,6,only the reeky personal bed and [rag] give off the clue to reigning domesticity
record_nn-1810-1860-01,record_nn,1810-1860,27869,26,to the executive in regard to his stay in washington and the proper period for his departure he put on [record] in
record_nn-1810-1860-02,record_nn,1810-1860,68442,11,be in one particular an exception from all the republic history [record]
record_nn-1810-1860-03,record_nn,1810-1860,156250,26,it particularly to one or two person who be near know that they would put the substance of it on [record] and thus make it know to all mankind
record_nn-1810-1860-04,record_nn,1810-1860,200137,14,who shall describe the scene that follow or if describe who would peruse a [record] so disgraceful to england to france to human nature
record_nn-1960-2010-01,record_nn,1960-2010,35036,12,"// southern cal be marcus allen break another of dorsett 's ncaa [record] by increase his season rush yardage to 1,968 in a 21-3 victory over cal"
record_nn-1960-2010-02,record_nn,1960-2010,58466,23,i would endure anne 's schmaltzy chopin record and anne would listen as best she could to my lee wiley [record]
record_nn-1960-2010-03,record_nn,1960-2010,122451,9,and it be likely to be clock at a [record] average speed in excess of 150 mile an hour
record_nn-1960-2010-04,record_nn,1960-2010,261776,4,the guinness book of [record] do n't even list quilt
relationship_nn-1810-1860-01,relationship_nn,1810-1860,55462,10,mournful and not without tenderness of the intimate and peculiar [relationship] between beatrice and himself
relationship_nn-1810-1860-02,relationship_nn,1810-1860,117994,45,third and instead of exhaust the matter we find ourselves at the root of an infinite series of an immense [relationship] upon which we have only just open and
relationship_nn-1810-1860-03,relationship_nn,1810-1860,152518,43,one who have any stake in the country who have any thing to lose by the disturbance of those happy [relationship] which now subsist between the different state be there one who revere the wisdom and goodness of our father the
relationship_nn-1810-1860-04,relationship_nn,1810-1860,174769,10,nation separate by broad sea be thus place in mutual [relationship]
relationship_nn-1960-2010-01,relationship_nn,1960-2010,108409,23,than any such study however would be the analysis of certain lexical set by mean of which we indicate the [relationship] and process which obtain between object and people
relationship_nn-1960-2010-02,relationship_nn,1960-2010,159929,12,and sense of well-being be link to man 's perception of the [relationship] between food ecology and life expectancy
relationship_nn-1960-2010-03,relationship_nn,1960-2010,325040,35,change lifestyle in tryon n.c. ban be a pioneer in choose such topic as mix marriage birth control and interracial [relationship] as subject for pop fantasy
relationship_nn-1960-2010-04,relationship_nn,1960-2010,342941,4,by contrast the vowel [relationship] in the indo-european language be extensively examine to arrive at current analysis
risk_nn-1810-1860-01,risk_nn,1810-1860,123256,14,alcouz i will go to court and speak in your behalf even at the [risk] of be tear to piece by my enemy
risk_nn-1810-1860-02,risk_nn,1810-1860,200002,9,the captain see that he be run a great [risk] in stand on for if he be bring to his vessel might be seize for infringe the blockade as he
risk_nn-1810-1860-03,risk_nn,1810-1860,208676,15,how could i suffer myself to be entice to break my promise even at the [risk] of never be receive into her favour again if i attend the gaming table
risk_nn-1810-1860-04,risk_nn,1810-1860,228812,57,ill-built wooden shed which have be erect by the russian at great distance from each other often run no little [risk] of suffocation from the smoke of his fire be drive in upon him from every side by the furious gust
risk_nn-1960-2010-01,risk_nn,1960-2010,17732,5,usually such gift heighten your [risk] of run afoul of the alternative minimum tax
risk_nn-1960-2010-02,risk_nn,1960-2010,46879,7,since each pregnancy in a couple at [risk] for mld have a 75 percent chance of produce a healthy baby these test make it possible for mld parent
risk_nn-1960-2010-03,risk_nn,1960-2010,54523,48,rate of injury on super-sidecut than would have be expect consider that base on previous research they show a great [risk] of injury on
risk_nn-1960-2010-04,risk_nn,1960-2010,100368,10,instead of medical chart each of us can expect individualized [risk] profile base on genetics and lifestyle
savage_nn-1810-1860-01,savage_nn,1810-1860,61226,13,look at the vacant countenance the listless sensation the burdensome indolence of the [savage]
savage_nn-1810-1860-02,savage_nn,1810-1860,176463,46,the full speed of their wild horse fill the air with their savage whoop and yell be a band of [savage] in full war array and evidently bend on an immediate attack
savage_nn-1810-1860-03,savage_nn,1810-1860,241723,16,who shall save my helpless child from the fury of the british solider and the indian [savage]
savage_nn-1810-1860-04,savage_nn,1810-1860,252264,6,such be the spirit of the [savage] the carolinians have no alternative but to resume their arm
savage_nn-1960-2010-01,savage_nn,1960-2010,10777,20,say go to sir jakes your just will be the ruin of my bowel and be unfit for all but [savage]
savage_nn-1960-2010-02,savage_nn,1960-2010,13258,22,he have be try patiently to indoctrinate copper with a minimum of civilized habit but she be quite literally a [savage]
savage_nn-1960-2010-03,savage_nn,1960-2010,104719,15,but i will tell you this i will do whatever it take to stop these [savage]
savage_nn-1960-2010-04,savage_nn,1960-2010,149704,17,you have all hear what the creature mylio be up to with the sword now raise those [savage] up to assault the human land andvar shrug
stab_nn-1810-1860-01,stab_nn,1810-1860,30607,21,thee from my view for a time hide it from me that my heart be black enough to meditate the [stab] of a brother
stab_nn-1810-1860-02,stab_nn,1810-1860,131827,10,your deed of all your property to me be another [stab] pierce my very heart
stab_nn-1810-1860-03,stab_nn,1810-1860,201484,5,its indifference be not a [stab] in their bosom the slow bleed of which can only be stifle in the grave
stab_nn-1810-1860-04,stab_nn,1810-1860,237888,13,i do n't deny that there be a pang in it yes a [stab] but there be a prayer too the amen belong to <nul>
stab_nn-1960-2010-01,stab_nn,1960-2010,1683,7,fanny glance at edmund and feel a [stab] pain to see him smile at mary
stab_nn-1960-2010-02,stab_nn,1960-2010,41662,14,there be only so many disenchanted party loyalist who be willing to take a [stab] at an independent candidacy
stab_nn-1960-2010-03,stab_nn,1960-2010,72585,11,sarah jerk her hand away but not before she feel the [stab] of beak and the surge of adrenaline at the attack
stab_nn-1960-2010-04,stab_nn,1960-2010,172215,14,it will soon be over he think and feel her impending departure like a [stab] of pain
stroke_vb-1810-1860-01,stroke_vb,1810-1860,120025,22,moment snobson come up and be introduce to walter who be amused at the scarcely perceptible mustache which be industriously [stroke] by snobson his ponderous chain his enormous ring and his polished tight-fitting shoe
stroke_vb-1810-1860-02,stroke_vb,1810-1860,130233,9,so call from the syllogist himself doubtless say mohi [stroke] his beard
stroke_vb-1810-1860-03,stroke_vb,1810-1860,153130,3,with the least [stroke] of his pen awaken a chord within us which all the learning and logic in the world could never reach
stroke_vb-1810-1860-04,stroke_vb,1810-1860,158729,7,it be only age he say slowly [stroke] his white beard that teach us wisdom and persuade us to renounce the hope of escape ourselves and just as
stroke_vb-1960-2010-01,stroke_vb,1960-2010,95150,1,klein [stroke] his lip as he mull the question
stroke_vb-1960-2010-02,stroke_vb,1960-2010,142964,1,she [stroke] him without look at him she be look out to sea and then from time to time at the man
stroke_vb-1960-2010-03,stroke_vb,1960-2010,154028,30,of water grip the shaft of my penis move easily from the base of the shaft to the tip briefly [stroke] the foreskin just long enough to bring me close to orgasm and then back down the shaft again a gentle
stroke_vb-1960-2010-04,stroke_vb,1960-2010,321283,3,he want to [stroke] her to feel her nakedness beneath her cloak
thump_nn-1810-1860-01,thump_nn,1810-1860,107425,52,i find jim there and tell him my story in a dozen word he bring his hand down with a [thump] on his waistband exclaim je-ru-sa-lem
thump_nn-1810-1860-02,thump_nn,1810-1860,161082,10,and one of the watch on deck after a preliminary [thump] with the large end of a handspike upon the forecastle vociferated down the fore scuttle all the starboard watch ahoy
thump_nn-1810-1860-03,thump_nn,1810-1860,182406,25,door to listen apply their ear to the keyhole and hear as follow turn out your toe forward two tol-de-rol-tiddle [thump] tiddle bump twiddle bang
thump_nn-1810-1860-04,thump_nn,1810-1860,195040,22,know he be the man man here break in doctor drummummupp at the top of his voice and with a [thump] that come
thump_nn-1960-2010-01,thump_nn,1960-2010,74229,5,asha listen to the soft [thump] of footstep as electra walk barefoot down the hallway of the sprawling house
thump_nn-1960-2010-02,thump_nn,1960-2010,124418,5,every so often this muted [thump] be accompany by a light shine out of a little window
thump_nn-1960-2010-03,thump_nn,1960-2010,162432,6,she be march now thump thump [thump] in the rocket shoe
thump_nn-1960-2010-04,thump_nn,1960-2010,342818,4,doctor know that the [thump] and thud inside the body could tell them a great deal.they look for way to hear these sound better
tip_vb-1810-1860-01,tip_vb,1810-1860,116294,16,as he do so the dwarf suddenly wheel his head round on his slender neck and [tip] his one eye curiously up at the face beside him
tip_vb-1810-1860-02,tip_vb,1810-1860,158805,2,in keep [tip] this perpetual warfare upon the spirit of the institution under which they live the moneyed man and their agent the
tip_vb-1810-1860-03,tip_vb,1810-1860,206689,11,another love the spaniard because they have give him a stick [tip] with silver
tip_vb-1810-1860-04,tip_vb,1810-1860,211780,25,height as the preceding flower at the same time flower much large one variety white tip with red another yellow [tip] in the same way all be easily cultivate in a rich loamy soil
tip_vb-1960-2010-01,tip_vb,1960-2010,23389,9,adrienne janney the tribune 's former editor say she [tip] off police about the cut-rate ad
tip_vb-1960-2010-02,tip_vb,1960-2010,100650,3,when horace grant [tip] in a jordan miss the bull have close within 101-100
tip_vb-1960-2010-03,tip_vb,1960-2010,267485,12,but they have take her rock chair away because its motion might [tip] her or its rocker trip her
tip_vb-1960-2010-04,tip_vb,1960-2010,270942,11,so much so that it be a miracle they do n't [tip] over
tree_nn-1810-1860-01,tree_nn,1810-1860,25345,3,the north american [tree] compose the genus magnolia ire certainly among the most splendid production of the forest in any temperate climate and when
tree_nn-1810-1860-02,tree_nn,1810-1860,132775,41,and at the same moment a deep voice be hear chant where the parent stem be break ' neath the [tree] that be old and oaken when the night-wind cool be blow over the life-blood warmly flow by unchanging fate 's
tree_nn-1810-1860-03,tree_nn,1810-1860,160706,20,in that wild and willful hour as i wander have off under passion 's sway i strive to forget each [tree] and flower nor hearken have the bird as it sing by the way '
tree_nn-1810-1860-04,tree_nn,1810-1860,246865,6,in this country almost all fruit [tree] be grow as standard
tree_nn-1960-2010-01,tree_nn,1960-2010,28006,17,at the north end of the lincoln park lagoon high on a hill almost hide amongst the [tree] stand a statue of an exceptionally robust man with his coat drape over one arm and
tree_nn-1960-2010-02,tree_nn,1960-2010,80962,19,if you have n't always be runnin ' around try ' to be the first man to see every [tree] what be you afraid of anyway that if you stay put they might find out about you
tree_nn-1960-2010-03,tree_nn,1960-2010,183152,5,the cathedral-like atmosphere of the [tree] have disappear leave behind a deep all-pervading gloom that seem half haunt
tree_nn-1960-2010-04,tree_nn,1960-2010,220323,0,[tree] that grow upwards of 200 foot have long ago be clear and the better sort of tree have suffer a
twist_nn-1810-1860-01,twist_nn,1810-1860,7279,8,urge the squire toy with a bit of [twist] upon the table
twist_nn-1810-1860-02,twist_nn,1810-1860,182804,18,he know i be the best friend about him whenever they get thing in any kind of a [twist] or a snarl say he major do you unravel that
twist_nn-1810-1860-03,twist_nn,1810-1860,220379,30,cake-making candified sweet-scented confectioner that know the most fashionable and last approve spice use for his cake or the late [twist] and the most graceful curve his candy should be work into
twist_nn-1810-1860-04,twist_nn,1810-1860,221953,29,raise to her own short lock which no process of bind up yet discover could possibly have coax into a [twist] behind her head
twist_nn-1960-2010-01,twist_nn,1960-2010,144606,12,foil malone 's plan and find the treasure just add a unique [twist] to troop 124 's summercamp outing last july
twist_nn-1960-2010-02,twist_nn,1960-2010,252620,2,with a [twist] of a crash bracelet a hoverboard rise from its hide place in the bush
twist_nn-1960-2010-03,twist_nn,1960-2010,257222,8,at a guess a player inject a new [twist] as he lead with a phrase and the other either flatter him with imitation or rebuke him with scowl
twist_nn-1960-2010-04,twist_nn,1960-2010,308867,0,[twist] and turn <nul> roanoke va 540 345-0884
word_nn-1810-1860-01,word_nn,1810-1860,143963,3,charles write me [word] that he be quite change pale and care-worn so different from his usual look he say my uncle have grow
word_nn-1810-1860-02,word_nn,1810-1860,156274,21,the paper be put into my hand i find at the top of them a sheet carefully fold with the [word] preface upon it and when i have leisure to arrange the whole for publication i open it and after some
word_nn-1810-1860-03,word_nn,1810-1860,179173,6,their religion be make of good [word] and bad deed
word_nn-1810-1860-04,word_nn,1810-1860,200828,29,thrust a knife into him writhe himself round on his seat glare fiercely into my eye but answer not a [word]
word_nn-1960-2010-01,word_nn,1960-2010,42943,16,neighbor cop and spectator have gather to watch the scene and jack see the reaction as [word] a neighbor have die sweep through the crowd
word_nn-1960-2010-02,word_nn,1960-2010,66286,13,her soft voice be melodic a tinkling bell but the shock of her [word] steal nella 's breath
word_nn-1960-2010-03,word_nn,1960-2010,286775,5,the same voice the same [word] we hear at the beginning of the film
word_nn-1960-2010-04,word_nn,1960-2010,313758,0,[word] to cardinal jaime ortega alamino archbishop of havana be no triumphalisms please
